id,Priority,SR start date/time,Service Category,Service Comments
4991,02-Urgent,2022-05-27 10:27:00,Doors and locks,Battery in door has died. Please fix asap.
380,02-Urgent,2022-04-27 10:25:00,Heating and cooling,The house thermostat says 70-71 and it`s been like that for hours now. I have the thermostat on 84 but the house will not heat up.
5776,03-Routine,2022-10-19 17:25:00,Doors and locks,Garage door will only open about a foot
1217,02-Urgent,2022-08-02 08:44:00,Plumbing and bath,"Toilet handle in the hallway bathroom upstairs sticks, and forces too much water to fill the bowl and overflow."
4100,01-Emergency,2022-03-23 13:56:00,Plumbing and bath,For the 4th time we are asking for our water heater to be fixed. It is quite obvious that it needs to be replaced because the water heater continues to fail. Please stop trying to fix and just replace.
110,02-Urgent,2022-04-12 22:53:00,Heating and cooling,A/C not cooling no matter how low it is turned down
4917,01-Emergency,2022-05-17 20:49:00,Heating and cooling,"AC is no longer working. AC is on but not blowing any cold air. Maintenance worker has been out here three times, each visit only putting freeon into the air conditioning unit. A few hours later the air is no longer cool. Air conditioning unit behind house sounds like it`s going to explode, is extremely loud."
2321,03-Routine,2022-01-04 16:41:00,Plumbing and bath,"I have asked it to be fixed at least four times, and still nothing. It shuts off half way through a one minute shower. I would like a 3rd party to come out and fix it. It never stays hot and i cant keep leaving my shower to turn it back on, its aggravating"
603,02-Urgent,2022-04-16 09:41:00,Plumbing and bath,Faucet under sink leaks constantly.
6394,03-Routine,2022-09-24 08:39:00,Appliance,Ice maker not functioning; water line is open but no flow to freezer.
4873,01-Emergency,2022-05-08 00:11:00,Moisture Issues,"back door not properly sealed causing water to enter home and cause floor damage, mold; reported this issue several times over the last 2 years and still has not been remedied"
2676,01-Emergency,2022-07-21 09:11:00,Environmental Concerns,All the wood under kitchen sink needs to be replaced. Completely covered in mold because the leak was not properly fixed.
4151,03-Routine,2022-03-08 15:26:00,Pest Control,I'd love the inside and out of my house sprayed for bugs please!
3405,01-Emergency,2022-06-02 20:36:00,Environmental Concerns,The patch is wet again.. same as last yr..
847,02-Urgent,2022-08-15 13:18:00,Plumbing and bath,The toilet is leaking from the bottom floor area and water is getting under the floor boards.
3963,01-Emergency,2022-03-13 11:00:00,Heating and cooling,"Thermostat as detached from the wall, heating and cooling is working properly."
1184,03-Routine,2022-08-03 09:52:00,Flooring,Hole in carpet from an overnight stay of a friends cat scratching
1923,01-Emergency,2022-01-01 18:35:00,Environmental Concerns,Water leaking from old water heater (has since been replaced). Requesting remediation of current mold situation. Mold is visible in downstairs bathroom
490,01-Emergency,2022-04-25 18:21:00,Moisture Issues,There was existing patch next to master shower. The patch is now showing signs of water damage around the edges. I believe a pipe is leaking behind the patch.
1205,01-Emergency,2022-08-30 06:35:00,Appliance,One burner reeks of gas even while on and sparks when lightning the one next to it.
4347,02-Urgent,2022-05-24 17:48:00,Plumbing and bath,The garbage disposal leaks when I use it.
58,02-Urgent,2022-04-21 05:00:00,Electrical and lighting,Breaker keeps switching off in Master and bedroom I think 3 the one next to the upstairs bathroom.
5583,02-Urgent,2022-10-14 12:24:00,Safety equipment,Low battery
4325,01-Emergency,2022-05-03 19:30:00,Plumbing and bath,Ice maker still doesn`t work - 3rd time maintenance will be here to fix.
2566,02-Urgent,2022-07-28 14:30:00,Doors and locks,Remedy given to husband on phone to fix the garage door only worked a few times. Garage door will not open/close with button or opener you keep in vehicle.
3932,02-Urgent,2022-03-04 10:11:00,Heating and cooling,The heater was not working when we moved in on Friday and it is not working again. Temperature in the house stays anywhere from 64-68 and will not go higher.
4866,01-Emergency,2022-05-08 00:07:00,Heating and cooling,Nest thermostat not turning on/working; problem started after home environment inspection
6546,02-Urgent,2022-09-05 19:17:00,Doors and locks,New key won`t open mailbox
5406,02-Urgent,2022-10-05 08:10:00,Heating and cooling,Not heating properly. It`s taken 48 hours to go from 60° to 69°. It`s cold in the house at night. 2 kids in home.
405,03-Routine,2022-04-14 09:43:00,Grounds and landscaping,"No mold found although there is no option in the drop down menu for ""other"" or ""tree service."" Service request submitted for an unrooted tree thats fallen over. It hasn`t touched the ground because it`s resting on branches from a nearby tree. It has a chance to fall over the driveway as it sways and creeks whenever the wind blows."
3413,03-Routine,2022-06-02 21:14:00,Grounds and landscaping,I could not find an appropriate category for tree removal/trimming. Tree by garage in backyard needs to be removed/cut. The heavy snow caused it to lean far in to the yard. Tree has been trimmed.
3645,01-Emergency,2022-06-28 08:56:00,Safety equipment,Detector needs replaced
1429,01-Emergency,2022-08-05 10:43:00,Heating and cooling,The A/C downstairs is not cooling.
6182,03-Routine,2022-09-09 22:07:00,Pest Control,Around Exterior of home. Front bushes.
4421,03-Routine,2022-05-22 11:12:00,Doors and locks,"The door leading from the dinning room to the backyard has a significant draft going in from the bottom portion of the door. This leads to increased use of electrical power to heat and cool the house. Furthermore, we have seen on multiple instances bugs growing in and out of this gap."
3270,02-Urgent,2022-06-07 09:38:00,Heating and cooling,"Every 3/4 months somebody has to come in to fix the same issue, hot water does not last / hot water heater constantly need a part to be replaced. My children had to wait for water to be boiled in order to take a bath last night when no one had even used the hot water all day."
207,01-Emergency,2022-04-23 13:47:00,Environmental Concerns,Request to have a maintenance tech come check our home for mold. Both of our kids have been sick with coughs and fevers for over a week. We took our son to the ER and the Doc. recommended to have the house checked for mold. The upstairs smells like major mold build up as well. Request assistance as soon as possible.
5277,03-Routine,2022-05-12 06:42:00,Doors and locks,The weather stripping is damaged and the door frame is rotting and needs replaced.
3379,03-Routine,2022-06-30 09:21:00,Plumbing and bath,Tub will barely drain (very slowly) when shower is on.
3734,03-Routine,2022-06-06 19:38:00,Pest Control,We have seen at least 5 roaches in recent days in the down stairs areas.
2720,01-Emergency,2022-07-26 13:14:00,Heating and cooling,Ac is leaking a lot of water off the side of unit causes puddles in basement.
4850,01-Emergency,2022-05-01 12:44:00,Moisture Issues,"5/2 Resident submitted through web. Resident states there is water on the floor, some wood floor has water seeping through kitchen. Not sure if it is related to the leaking fridge that was fixed."
5695,03-Routine,2022-10-16 20:15:00,General,Just need touch up paint for around the house
4373,03-Routine,2022-05-18 08:00:00,Grounds and landscaping,5/18 The water drain that is from the roof to the ground and it`s draining a terrible black puddle of mud and it does not dry out. So resident would like this drain pipe to be extended to a different area.
5519,02-Urgent,2022-10-12 06:42:00,Plumbing and bath,Upstairs master bath toilet completely broken.
596,03-Routine,2022-04-04 11:43:00,General,The handrail leading to the front porch became loose over the winter and finally broke. The hand rail is removed and sitting on the side of the house.
5752,01-Emergency,2022-10-23 21:11:00,Doors and locks,"I repaired back door, all working fine Start 9:30am-10:am"
6567,02-Urgent,2022-09-12 18:53:00,Plumbing and bath,"when insink errator is turned on with little to no food bits, the water vomits out of the other sink and is very slow to drain back out. We don`t grind stuff that isn`t meant to be or grind very little at a time. We ran hot water as Drano makes it worse per the last plumber to no avail. The last plumber said there was no mesh or something was missing."
2672,01-Emergency,2022-07-26 01:15:00,Safety equipment,Master room Smoke detector battery replacement.
2268,03-Routine,2022-01-15 13:57:00,Flooring,Looking to get the carpet in the house changed. Apparently there is mold under the carpet and looking black around the edges in certain parts of the carpet upstairs. It is not a cleanliness issue. Safety/Health concern.
617,02-Urgent,2022-08-30 20:04:00,Appliance,The is standing water in the dish water. Does not complete cycle
5422,02-Urgent,2022-10-09 08:12:00,Plumbing and bath,"Entire house issue. When cold water is turned on, extremely hot water comes out. Cold water is available after plumbing has been flushed. **No water leak - form required an entry in that field.**"
2144,03-Routine,2022-01-10 19:25:00,Storm Damage,The downed trees on boxwood are a safety concern for the kids walking to the bus. The sidewalk has been under construction and is unavailable to the bus stop so the children are walking under the trees branches that were broken from the snow. If this can be cleaned up asap.
1544,03-Routine,2022-02-19 16:29:00,Electrical and lighting,"GFI (closest to microwave/refrigerator) trips sporadically throughout the day. We will attempt to reset it and then it will trip again as quickly as a minute after at times, other times tripping after a couple hours. Unstable pattern. Not a reliable outlet."
3750,03-Routine,2022-06-30 09:19:00,Pest Control,"Please send exterminator to come spray for bugs around house perimeter and sweep large webs from high places on house. We also have a wasp nest, I believe, in the pillar on the right side of our front porch, where it meets the overhang. Please treat for that, as daughter is allergic to stings. Thank you"
4916,01-Emergency,2022-05-17 19:50:00,Doors and locks,Front door lock flashing red. Difficult to lock/unlock due to low battery
2871,03-Routine,2022-07-16 18:51:00,Building exterior,Cabinet is NOT the issue. The drop down for Roof has no selections for the last pull down and therefore the issue can`t be submitted in that category. Issue is the Gutter over kitchen window is clogged and overflowing.
887,01-Emergency,2022-08-07 12:21:00,Doors and locks,The front door lock does not function with the electronic key. Does not unlock or lock from exterior.
3227,02-Urgent,2022-06-11 18:43:00,Doors and locks,I think the batteries on the back door are out. It no longer works with either of the key fobs.
423,02-Urgent,2022-04-06 20:16:00,Flooring,When we step on the wood floor water comes up.
1705,03-Routine,2022-02-04 11:59:00,General,Wire Shelving in master bedroom closet broke loose from wall and collapsed leaving several holes in the wall and leaving no where to hang anything. Other wire shelf is also sagging and looks very weak.
5126,02-Urgent,2022-05-18 18:10:00,Appliance,5/19 Resident submitted through the portal. Resident states had DW installed and have water under the sink and the floor. haven`t use the DW.
5920,03-Routine,2022-10-03 13:51:00,Electrical and lighting,2 outlets by washer do not work
160,03-Routine,2022-04-06 13:52:00,Flooring,Flooring by back door is coming up and looks to have water damage under
2263,02-Urgent,2022-01-16 14:20:00,Heating and cooling,"There are vents in the house that are not blowing air and the temperature setting doesn`t seem to be working properly. Some room are extremely cold, especially upstairs."
1806,02-Urgent,2022-02-17 09:04:00,Heating and cooling,"Since the service request corrected the HVAC noise, now the the HVAC system does not properly heat above 64 degrees. Additionally, when the system comes on it smells like something is burning in the house. Very concerned about a house fire starting from whatever is causing the burning smell."
1546,01-Emergency,2022-02-15 11:09:00,Electrical and lighting,Power went out about 11:05
2804,01-Emergency,2022-07-08 09:49:00,Doors and locks,"Front door does not lock from The outside using ""key"". Replaced door battery's"
6321,02-Urgent,2022-09-08 09:17:00,Electrical and lighting,Breaker keeps tripping. Also all outlet in all upstairs bathrooms DO NOT work
480,03-Routine,2022-04-02 11:19:00,Electrical and lighting,Light in downstairs bathroom is out. We replaced all the bulbs but the lighting unit appears to not work.
1358,01-Emergency,2022-08-09 06:35:00,Environmental Concerns,Mold growing around the electrical outlets in kitchen. Mold in shower and air vent in bathroom. Checked behind switch's in kitchen found no mold
1391,01-Emergency,2022-08-23 16:30:00,Safety equipment,"The CO/Fire Detector in the upstairs hallway began to chirp rapidly 5 times. Looking at the detector, it shows that it needs to be replaced."
5437,02-Urgent,2022-10-20 07:59:00,Heating and cooling,The heat is not working. The thermostat is showing as the heat is turning on but the heat never actually turns on.
4222,02-Urgent,2022-03-15 15:44:00,Heating and cooling,"The heater fan does not turn on when the heat is turned on/up, but a very strong burning smell is present when the heater is turned on now."
304,03-Routine,2022-04-24 08:12:00,Common Areas,The dishwasher fails to drain. This is the 4 or 5th time we have submitted a request to fix the dishwasher. Someone comes fixes the issue and then the issue comes back again in a month or two.
4138,01-Emergency,2022-03-04 12:08:00,Heating and cooling,Our heater stopped working. Heat switch is turned on but no hot air.
5374,03-Routine,2022-10-31 11:18:00,Appliance,There is power but it`s not grinding.
1803,03-Routine,2022-02-17 12:45:00,Windows,The rail of the blinds covering the back door is broken. The blinds can`t be twisted to close.
4271,02-Urgent,2022-03-22 16:49:00,Plumbing and bath,Mold in gap of shower caulk. Also mold on the wall of the shower (painted) area.
3926,03-Routine,2022-03-28 08:58:00,Environmental Concerns,Would like to get our shower in the master bathroom inspected for mold.
4449,02-Urgent,2022-05-25 16:03:00,Heating and cooling,A/C does not cool in the house.
2975,02-Urgent,2022-07-29 15:47:00,Appliance,Frig is leaking water.
335,03-Routine,2022-04-21 12:59:00,Flooring,Plastic strip between the living room hallway has separated and is a tripping hazard. It needs to be nailed down. We tried gluing it a few times.
4264,03-Routine,2022-03-30 18:07:00,Plumbing and bath,Issue is dishwasher makes loud random noises like motor or pump is messed up. Could not find option to choose dishwasher.
3255,02-Urgent,2022-06-08 11:09:00,Appliance,Freezer fluctuates between cold and warm. Also fridge leaks randomly.
2723,02-Urgent,2022-07-30 10:18:00,Plumbing and bath,"Toilet in maid`s room - drains slowly, fills fast and overflows onto floor"
4080,03-Routine,2022-03-19 14:35:00,Building exterior,We are please requesting a power wash for the outdoor and (indoor screened in) porch in the back of the house. Has never been power washed since moving in 2 years ago.
808,02-Urgent,2022-08-30 09:29:00,Appliance,"Refrigerator is starting to temporarily stop cooling. It will be cold for a bit then stop all together. We left for two days and the groceries we purchased on Friday were warm and bad by Sunday. Also, missing temp knob so it is hard to know what level of coolness it is at."
5826,01-Emergency,2022-10-02 18:18:00,Doors and locks,Battery on front door lock appears to be dead. Keys work but lock does not light up or make any noise
2631,01-Emergency,2022-07-27 21:07:00,General,I feel like the dry wall is softer in spaces around the bath tub especially the ceiling fan thing. The hvac is either dirty on the inside or growing something.
452,02-Urgent,2022-04-12 20:08:00,Plumbing and bath,Even when turned off it still leaking water.
1165,03-Routine,2022-08-31 06:27:00,Appliance,It`s actually the garbage disposal switch is broken and was like this when we moved in July 1st.
5498,01-Emergency,2022-10-22 21:03:00,Doors and locks,Garage deadbolt does not work. Batteries were replaced a week ago and it's dead again. Front door deadbolt appears to be almost out of batteries. Request those be changed as well. Front door= new batteries Garage door = Has an issue where the batteries are being drained.
865,01-Emergency,2022-08-29 11:57:00,Heating and cooling,"Our Nest Thermostat cannot read the current in house temp and keeps jumping from one extreme temp to another. Additionally, it is setting it's own schedule and again, jumping from one extreme temp to another. I am unable to connect it to the wifi and it is not keeping the house cool. I think the A/C works, when the thermostat tells it to turn on."
6190,03-Routine,2022-09-26 16:21:00,Windows,Screens have never been fixed from when the person who came and power washed the mold and mildew came over the summer. He tore two screens. Also all the mold/mildew has never been remediated even though it shows completed in the portal. So that needs fixed instead of pictures taken and nothing done.
1739,02-Urgent,2022-02-08 06:38:00,Heating and cooling,The heater is not working as well as it used too. It runs constantly and the temp does not rise. Also the outside unit makes noises it didn`t before.
3403,03-Routine,2022-06-19 09:04:00,Plumbing and bath,Second floor shower has significantly reduced water pressure. The dial and water temperature has also become very inconsistent - water can be scolding hot even when set to cold. Tub needs some caulking around the fixtures as well.
1860,01-Emergency,2022-02-14 14:42:00,Heating and cooling,"The fireplace is getting the gas odor again. After the repair, a couple weeks ago, we weren`t smelling it but now we are smelling it again while it is being used, not just initially after we turn it on."
4787,01-Emergency,2022-05-22 17:53:00,Electrical and lighting,5/23 Resident submitted though the portal. Resident states no electrical power entire unit and village.
6433,03-Routine,2022-09-27 16:58:00,Plumbing and bath,Tub still speaks loudly when moving around in it with normal pressure.
1095,03-Routine,2022-08-06 17:50:00,Plumbing and bath,Toilet is not broken. Caulking is missing from the Master bathroom toilet.
103,03-Routine,2022-04-27 08:52:00,Building exterior,The outside of the house needs to be power washed
4510,03-Routine,2022-05-02 08:05:00,Windows,Bedroom window upstairs shattered in the corner on the inside
2557,02-Urgent,2022-07-19 12:31:00,Plumbing and bath,Water is pooling in the dryer.
52,02-Urgent,2022-04-08 13:01:00,Environmental Concerns,"Master Bathroom: the overflow on the tub has mold between tub and overflow. Needs to be removed, cleaned and re-caulked."
134,03-Routine,2022-04-14 16:10:00,General,"There wasn`t any selection available, but I would like have landscaping come and mow my yard. Self help doesn`t have any mowers/weed eaters available."
86,01-Emergency,2022-04-17 15:41:00,Doors and locks,Our keys will not unlock the front door
4756,01-Emergency,2022-05-21 14:28:00,Heating and cooling,5/23 Resident submitted through the portal. Resident states AC is not working. The fan outside is not on all day and it`s 75degree. It`s not blowing any cold air.
3698,01-Emergency,2022-06-30 07:18:00,Doors and locks,My front door is all of a sudden sticking.
541,03-Routine,2022-04-12 16:26:00,Common Areas,Playground #11 has a bench completely fallen apart. It`s a safety hazard to the children on the playground. The other 3 benches that haven`t yet fallen apart are pretty close to falling apart
1944,02-Urgent,2022-01-20 13:45:00,Plumbing and bath,**Our hallway bathroom sink is leaking in thru the downstairs hallway light fixture.**
6270,02-Urgent,2022-09-18 00:21:00,Appliance,9/23 Resident stated that their fridge handle came all the way off dispatched it LT Door handle loose
3901,03-Routine,2022-03-28 14:56:00,Grounds and landscaping,This is actually a back yard issue (I can`t find an option for that). There are major drainage problems
465,03-Routine,2022-04-09 19:39:00,Flooring,"This carpet is damage, has to be outdated and all. I`ve have it cleaned and vacuum and it`s literally destroying vacuum. I`ve went through three in the last five months. I was advised that carpet life may be expired. It`s also lifting on edges in areas"
3933,03-Routine,2022-03-26 08:28:00,Plumbing and bath,New flapper but doesn't fill automatically
2765,03-Routine,2022-07-29 17:05:00,Windows,"Window needs to be replaced. It has so much internal rust inside that it`s stuck and can`t be opened, which is a fire hazard. It`s the second window in the dining room furthest to the left from the backdoor in the dining room, across from the dining room table. Installed new glass in window"
3528,02-Urgent,2022-06-11 10:54:00,Doors and locks,Screws on the door are stripped and falling out.
4576,01-Emergency,2022-05-12 07:06:00,Heating and cooling,5/12 Resident submitted through the portal. Resident states the person who inspected the home yesterday turned off the power so now the thermostat says no power. Resident is not getting AC.
2115,01-Emergency,2022-01-17 12:08:00,Doors and locks,Door knob seizes and will not turn
5105,02-Urgent,2022-05-01 10:49:00,Heating and cooling,Heat for entire house not working.
2041,01-Emergency,2022-01-24 11:36:00,Building exterior,"During the recent snow storms we`ve experienced, our gutter in our back yard was impacted by it and is currently hanging in the backyard."
911,03-Routine,2022-08-04 16:53:00,Safety equipment,The fire sprinkler right in front of the patio door is not flushed with the ceiling
600,01-Emergency,2022-04-03 11:25:00,Environmental Concerns,In hall bathroom up stairs has black dots and possible mold. We don`t know. In master bathroom there is rust on lights. We cleaned the bathrooms a With bleach and we keep vents going so not sure why these black dots.
1513,03-Routine,2022-02-15 08:12:00,General,Stairwell wooden baluster broken
4405,01-Emergency,2022-05-07 09:28:00,Environmental Concerns,"5/9. Resident submitted through web. They were drinking tap water and noticed there are black flakes in their water, not insignificant amount, concern about what it is. main source of water to drink. Assume it is everywhere in the home."
6215,01-Emergency,2022-09-01 01:08:00,Safety equipment,Detector keeps chirping even though we replaced batteries.
3392,03-Routine,2022-06-22 16:57:00,Building exterior,Resident states the patio and balcony needed to be power washed. they still have bird poop all over the pillars and spider webs covered the area.
1645,03-Routine,2022-02-10 14:16:00,Windows,Pine tree that was damaged from snow is hitting the kitchen window screen with the wind. Needs to be trimmed. No damage to screen at this time.
5685,01-Emergency,2022-10-13 16:36:00,Doors and locks,Bolt lock is operational but the standard lock is not and does not keep the door shut without the bolt on.
3542,03-Routine,2022-06-02 17:01:00,Building exterior,"We would like to order power wash. Porch and garage. Nothing needs to be painted, just powerwash, couldn`t find the right thing from your menu on top."
6180,03-Routine,2022-09-09 23:59:00,Common Areas,"The kids` swings need repairs, one is broken and the other one is missing. There`s only baby swings now. Hippo park."
5729,03-Routine,2022-10-16 09:38:00,Appliance,The disposal is rusted and finally broken. It needs to be replaced with the new one. Thank you.
586,01-Emergency,2022-04-28 12:51:00,Environmental Concerns,As I mentioned in our call 10 minutes ago There is mold along the bottom of the wall in the laundry room and the laundry hook up is leaking. I would like a moisture reading and mold remediation.
5782,01-Emergency,2022-10-07 08:39:00,Environmental Concerns,Mold growing in the garage. I think the roof is leaking.
2751,03-Routine,2022-07-31 11:22:00,Building exterior,Needing the entire house pressure washed
601,02-Urgent,2022-04-07 07:07:00,Heating and cooling,Turning on a c on Wall unit but air is not turning on
684,01-Emergency,2022-08-26 06:54:00,Plumbing and bath,"No hot water in mbr. Also, dark water comes from faucet. PTE"
3092,02-Urgent,2022-06-14 19:03:00,Plumbing and bath,Right side sink piping has a crack and is dripping.
2351,01-Emergency,2022-01-30 11:12:00,Heating and cooling,"There was no drop down for fireplace which is why AC filter was chosen. The fireplace has a strong gas odor when burning. A gas odor when initially starting is normal, but this smell is strong and emitted the entire duration of it being on which is not normal."
4277,03-Routine,2022-03-18 18:24:00,Windows,Blinds by front door broken
5254,02-Urgent,2022-05-02 15:27:00,Appliance,5/2 Freezer stops and freezes consistently. Causing damaged to the freezer and damaged to the food. Was already mentioned during the inspection. Something is thawing and is leaking down into the seal and it`s not their food. No seal left at the bottom of the fridge.
4970,02-Urgent,2022-05-31 14:01:00,Plumbing and bath,first floor bathroom near stairs
478,03-Routine,2022-04-16 19:52:00,Pest Control,Ants are coming in through the floor/wall. We do not have any left out food or mess. They appear to be coming in near the sliding door and then disappear back into the wall about a foot away. There are also alot outside the sliding door and in the nearby grass/dirt.
485,03-Routine,2022-04-25 16:23:00,Plumbing and bath,Outdoor faucet at the front door is broken and water has to be turned on/off at valve in basement
1744,02-Urgent,2022-02-16 13:11:00,Environmental Concerns,Bathroom has mold all over ceiling..
3598,03-Routine,2022-06-16 08:58:00,Pest Control,Please spray backyard for ticks and flies.
1000,01-Emergency,2022-08-10 07:51:00,Heating and cooling,"Good Morning, my family and I would like to have our home HVAC system duct inspected for mold. We have been getting respiratory illnesses that more often lately that can not be linked to COVID. We do not physically see anything around the vent areas but would like to have the internal ducts inspected in case there is something there that we can not see. Please advise if you have any questions or concerns. Thank you for your time."
1450,03-Routine,2022-08-24 14:25:00,Flooring,Baseboard under cabinet was missing upon move in and needs to be replaced
723,01-Emergency,2022-08-06 15:33:00,Environmental Concerns,There is mold forming on the dryer vent
1085,03-Routine,2022-08-01 13:41:00,Pest Control,Baby birds in dryer vent
6132,03-Routine,2022-09-02 10:20:00,Appliance,Dishwasher leaks all over the floor when running.
2399,03-Routine,2022-07-16 10:32:00,Building exterior,"The options for ROOF in the menu, do not make sense at all, it reflects primarily kitchen items and ceiling. The real problem with the roof is there are several broken tiles that need to be replaced. Thank you."
667,01-Emergency,2022-08-19 09:57:00,Environmental Concerns,After the wet attic insulation has been removed(roof leaked for almost 3 months). Please spray rafters and joists with mold/mildew disinfectant ASAP before professional mold/mildew remediation is required
692,01-Emergency,2022-08-17 08:07:00,Doors and locks,Front door lock is dead/broken. Installed new. Saflock
4189,03-Routine,2022-03-08 10:28:00,Appliance,"Fridge problem, possibly motor. No available category to choose fridge."
1611,03-Routine,2022-02-01 06:50:00,Electrical and lighting,Multiple outlets along house have 1/2 working receptacles
4200,01-Emergency,2022-03-01 17:02:00,Safety equipment,Smoke detector works but is hanging from the ceiling and not secured.
3946,03-Routine,2022-03-16 18:51:00,Pest Control,Wasps inside and out of my house
3553,03-Routine,2022-06-10 14:41:00,Doors and locks,Bathroom door does not lock properly.
2526,03-Routine,2022-07-05 11:33:00,Plumbing and bath,"The toilet in the upstairs bathroom run a while after being flushed, it doesn't flush completely after every flush and the water rises to the rim of the commode."
410,01-Emergency,2022-04-09 13:13:00,Doors and locks,Front door does not close or latch.
5054,02-Urgent,2022-05-23 13:26:00,Doors and locks,"5/23 resident submitted through the portal. Resident states garage door is not closing and opening, no locking. House is not secured."
4921,01-Emergency,2022-05-18 14:35:00,Heating and cooling,My boys have always had a mild form of asthma but since moving here they have been sick every other week and can`t breathe with symptoms. We have been to pulmonologist and can`t determine why the increase. They recommended checking the hvac.
401,02-Urgent,2022-04-18 09:07:00,Heating and cooling,Temperature at 64 degrees in the house. Heater not working.
3434,01-Emergency,2022-06-21 14:00:00,Environmental Concerns,Mold present due to interior condensation and worn seals around doors and windows.
